playlist_name,track_name,artists,album,duration_ms,spotify_id,spotify_url
Workout,DAMNSON,Hanumankind,DAMNSON,150943,630ZXewu63FXyhoiKpO6tC,https://open.spotify.com/track/630ZXewu63FXyhoiKpO6tC
Workout,Big Dawgs,"Hanumankind, Kalmi",Big Dawgs,190666,0OA00aPt3BV10qeMIs3meW,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW
Workout,The Last Dance,"Sushin Shyam, Hanumankind, Vinayak Sasikumar",Aavesham (Original Motion Picture Soundtrack),83000,5EbJjO0X1Xw620AXZMyyNZ,https://open.spotify.com/track/5EbJjO0X1Xw620AXZMyyNZ
Workout,Same Beef,"Bohemia, Sidhu Moose Wala",Same Beef,290360,65c6VCikt7f5sAS1heoYQC,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
Workout,Lakshya,"Shankar-Ehsaan-Loy, Shankar Mahadevan",Lakshya (Original Motion Picture Soundtrack),375706,7o1yzUVkQt2Gto5yYvzo2T,https://open.spotify.com/track/7o1yzUVkQt2Gto5yYvzo2T
Workout,,,,0,5W7DOVGQLTigu09afW7QMT,https://open.spotify.com/track/5W7DOVGQLTigu09afW7QMT
Workout,We Rollin,Shubh,We Rollin,199205,6ZYxNjuAU9Vy3VtF6W1dtE,https://open.spotify.com/track/6ZYxNjuAU9Vy3VtF6W1dtE
Workout,Born to Shine,Diljit Dosanjh,G.O.A.T.,213333,4XxfOvudrnBRdlgzEaq1sd,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
Workout,Downers At Dusk,"Talha Anjum, Umair",Open Letter,256000,5qolX8ncpZ8R6TfKbvTzbA,https://open.spotify.com/track/5qolX8ncpZ8R6TfKbvTzbA
Workout,Daku,"Chani Nattan, Inderpal Moga",Daku,131077,3wz2vWhYnnBoFmgMkqtzLy,https://open.spotify.com/track/3wz2vWhYnnBoFmgMkqtzLy
Workout,Baller,"Shubh, Ikky",Baller,148188,42TMa2hgBNjte4uV7jNCnQ,https://open.spotify.com/track/42TMa2hgBNjte4uV7jNCnQ
Workout,Arjan Vailly,"Manan Bhardwaj, Bhupinder Babbal",ANIMAL,182170,4ApCig0GTR4IEp7Ijsyo3r,https://open.spotify.com/track/4ApCig0GTR4IEp7Ijsyo3r
Workout,,,,0,7B4uYqxTpTOS1sgxFB9Ann,https://open.spotify.com/track/7B4uYqxTpTOS1sgxFB9Ann
Workout,Elevated,Shubh,Elevated,200658,2AilvPt1AQ8PixlCKqkjfj,https://open.spotify.com/track/2AilvPt1AQ8PixlCKqkjfj
Workout,Old Money,AP Dhillon,Old Money,128098,4WLDaQ8AgSwUgFoPzJkAYK,https://open.spotify.com/track/4WLDaQ8AgSwUgFoPzJkAYK
Workout,No Love,"Eminem, Lil Wayne",Recovery,299506,7bHT9osSq1rwT2yaImzqCi,https://open.spotify.com/track/7bHT9osSq1rwT2yaImzqCi
Workout,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,172800,7sO5G9EABYOXQKNPNiE9NR,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
Workout,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",MONTERO,212352,5Z9KJZvQzH6PFmb8SNkxuk,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
Workout,Lalkara,"Diljit Dosanjh, Intense, Sultaan",Ghost,160500,2oenSXLDbWVaaL7QjSGYj5,https://open.spotify.com/track/2oenSXLDbWVaaL7QjSGYj5
Workout,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,223636,46QbY78ha62aiu6gBgC7lS,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
Workout,White Brown Black,"Avvy Sra, Karan Aujla, Jaani",White Brown Black,175999,3nKQrVVlwbAQSnFbgZWdN0,https://open.spotify.com/track/3nKQrVVlwbAQSnFbgZWdN0
Workout,Still Rollin,Shubh,Still Rollin,174730,6oz1L5jcqZWYuId7nxvIan,https://open.spotify.com/track/6oz1L5jcqZWYuId7nxvIan
Workout,Excuses,"AP Dhillon, Gurinder Gill, Intense",Excuses,176232,29m79w9xPMH4YCD6r8JSmV,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
Workout,Brown Munde,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",Brown Munde,254400,58f4twRnbZOOVUhMUpplJ4,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
Workout,Day 'N' Nite (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),221240,60PAzFNW3vAiAiVK6DRJfB,https://open.spotify.com/track/60PAzFNW3vAiAiVK6DRJfB
Workout,Lightyears (with Young Thug),"Juice WRLD, Young Thug",Lightyears (with Young Thug),192130,6vVzKCUfA6LzEU9wH0xNUR,https://open.spotify.com/track/6vVzKCUfA6LzEU9wH0xNUR
Workout,Bhaag Milkha Bhaag - Rock Version,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),279461,0KtHnXQjYkHNDsjTX3XqLc,https://open.spotify.com/track/0KtHnXQjYkHNDsjTX3XqLc
Workout,Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",TESTING,205813,7ycWLEP1GsNjVvcjawXz3z,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
Workout,Lovin On Me,Jack Harlow,Lovin On Me,138411,4xhsWYTOGcal8zt0J161CU,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU
Workout,MIDDLE CHILD,J. Cole,MIDDLE CHILD,213593,2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
Workout,Prarthana,KR$NA,FAR FROM OVER,199672,3l3BzT3Ovdx2mQK366r5Ei,https://open.spotify.com/track/3l3BzT3Ovdx2mQK366r5Ei
Workout,Hood Life,"SAMBATA, Riar Saab, Karan Kanchan",Hood Life,197985,4G2sLmmGsJijWVEXAMEYCs,https://open.spotify.com/track/4G2sLmmGsJijWVEXAMEYCs
Workout,"The Savarkar Rage - From ""Swatantrya Veer Savarkar""",SAMBATA,"The Savarkar Rage (From ""Swatantrya Veer Savarkar"")",130476,02hIFmx1SAE9Ek4w2iDEIE,https://open.spotify.com/track/02hIFmx1SAE9Ek4w2iDEIE
Workout,Dolby Walya,"Nagesh Morwekar, Earl Edgar",Jau Dya Na Balasaheb (Original Motion Picture Soundtrack),335658,0jKX3Y9SxdqBBFJ3oz2cyR,https://open.spotify.com/track/0jKX3Y9SxdqBBFJ3oz2cyR
